"work","citedwork"
"https://semopenalex.org/work/W2900759511","https://semopenalex.org/work/W2782346279"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2778609476"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2803256145"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2802936104"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2794677693"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2792447227"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2793311199"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2795059439"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2789030661"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2807883146"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2782551600"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2792311144"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2790641002"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2769685116"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2796999060"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2789967875"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2806840812"
"https://semopenalex.org/work/W2887567490","https://semopenalex.org/work/W2791340197"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2809424912"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2884616676"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2809924458"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2783580099"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2851134615"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2810417738"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2804846127"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2789674962"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2797710704"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2807828500"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2806319473"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2793142085"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2793760887"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2884808176"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2796756652"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2791372582"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2892586379"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2804916341"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2892100411"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2893560612"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2785562444"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2580541702"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2895763836"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2897302874"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2735352908"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2803290230"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2883321937"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2805332531"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2790624898"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2781793251"
"https://semopenalex.org/work/W2902532351","https://semopenalex.org/work/W2750303701"
"https://semopenalex.org/work/W2885115880","https://semopenalex.org/work/W2790248187"
"https://semopenalex.org/work/W2885115880","https://semopenalex.org/work/W2795341992"
"https://semopenalex.org/work/W2885115880","https://semopenalex.org/work/W2806467374"
"https://semopenalex.org/work/W2885115880","https://semopenalex.org/work/W2800516378"
